name,weight,primary_steps,final_prob,primary_actions,eval_metric
direct,0.0,12,0.1428,"[2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4]",-82.86647992530345
direct,0.1,9,0.381,"[2, 2, 2, 2, 2, 4, 4, 4, 4]",-13.998250218722658
direct,0.2,8,0.3131,"[2, 2, 2, 1, 2, 4, 4, 4]",-10.113914617268179
direct,0.30000000000000004,8,0.3131,"[2, 2, 2, 2, 4, 4, 4, 4]",-10.113914617268179
direct,0.4,7,0.5067,"[1, 1, 1, 1, 1, 1, 4]",-1.9735543714229324
direct,0.5,12,0.3131,"[3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4]",-37.79410199084425
direct,0.6000000000000001,10,0.3131,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 4]",-23.954008304056213
direct,0.7000000000000001,8,0.3131,"[3, 3, 3, 3, 3, 4, 4, 4]",-10.113914617268179
direct,0.8,7,0.5067,"[3, 3, 3, 3, 3, 4, 4]",-1.9735543714229324
direct,0.9,7,0.5067,"[3, 3, 3, 3, 3, 4, 4]",-1.9735543714229324
direct,1.0,13,0.3131,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4]",-44.714148834238266
w_power,1.0,6,0.3913,"[3, 3, 3, 3, 3, 4]",-7.666751852798365
w_power,2.0,10,0.5336,"[3, 3, 3, 3, 3, 4, 4, 4, 4, 4]",-20.614692653673163
w_power,3.0,5,0.3913,"[3, 3, 3, 3, 4]",-2.5555839509327885
w_power,4.0,5,0.3913,"[3, 3, 3, 4, 4]",-2.5555839509327885
w_power,5.0,7,0.2861,"[3, 3, 3, 3, 3, 4, 4]",-17.476406850751484
w_power,6.0,5,0.3913,"[4, 3, 3, 3, 4]",-2.5555839509327885
w_power,7.0,5,0.3913,"[3, 3, 3, 3, 4]",-2.5555839509327885
w_power,8.0,10,0.5336,"[4, 3, 3, 3, 3, 4, 4, 4, 4, 4]",-20.614692653673163
w_power,9.0,5,0.3913,"[4, 3, 3, 3, 4]",-2.5555839509327885
w_power,10.0,6,0.3913,"[3, 3, 3, 3, 3, 4]",-7.666751852798365
w_position,0.0,8,0.399,"[4, 4, 4, 3, 3, 3, 3, 4]",-2.506265664160401
w_position,0.5,9,0.5499,"[1, 1, 1, 1, 1, 1, 1, 1, 4]",-3.793456092701116
w_position,1.0,8,0.399,"[1, 1, 1, 1, 1, 1, 1, 4]",-2.506265664160401
w_position,1.5,101,0.05,"[2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-2040.0
w_position,2.0,8,0.399,"[1, 1, 1, 1, 4, 4, 4, 4]",-2.506265664160401
w_position,2.5,8,0.399,"[1, 1, 1, 1, 1, 1, 1, 4]",-2.506265664160401
w_position,3.0,15,0.2536,"[2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4]",-33.92015196228079
w_position,3.5,101,0.05,"[2, 2, 2, 2, 3, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",-2040.0
w_position,4.0,14,0.2608,"[1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4]",-28.819513160498715
w_position,4.5,8,0.399,"[1, 1, 1, 1, 1, 1, 1, 4]",-2.506265664160401
